iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss
0,0.97277,0.93048,0.94046,0.9995377741256227,0.9982786388728481,0.9624572027944349,0.9085017563777226,19471,50529,0.0
140,0.98633,0.96206,0.96979,0.9972645387498489,0.9919247990283071,0.7974947807933194,0.6428474019000724,66168,3832,1.4130154618195125
280,0.98619,0.96182,0.96952,0.9962879036345746,0.9891456722859863,0.7542778918548939,0.5877250275093322,67078,2922,0.5110980611826692
420,0.98629,0.96227,0.96977,0.9960652719416769,0.9885031971873797,0.7378347793285552,0.5549530038111548,67349,2651,0.42394884867327554
560,0.98639,0.96268,0.96997,0.9955853813904567,0.9873770039725169,0.7376852222667201,0.5592895776361628,67503,2497,0.348219366052321
700,0.98634,0.96287,0.96993,0.9953156401465895,0.9864621005519173,0.7255154639175257,0.5421691366834948,67672,2328,0.3391795059399945
840,0.98659,0.96341,0.97046,0.9955026689079596,0.9870204549527019,0.7094408799266728,0.534485006367361,67818,2182,0.3004029469298465
980,0.98667,0.96346,0.97063,0.995059985885674,0.985876423205379,0.6990927419354839,0.5149440064908724,68016,1984,0.30232873452561243
1120,0.98639,0.96263,0.97,0.9950400610454025,0.9856154502768598,0.6682847896440129,0.48997289269086636,68146,1854,0.27233238853514197
